CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local
02001722514001981000000000U3,144618,ANTOJITOS BIBY,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,BENITO JUAREZ,,,NUEVO MEXICO PUNTA COLONET,22909,"EJIDO MÉXICO (PUNTA COLONET), Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.20715863,31.07109149,,,
02002722514000391000000000U4,78889,ANTOJITOS CHUCHERIAS Y MAS DOÑA LUPE,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,,,ESTACION DELTA,21700,"DELTA (ESTACIÓN DELTA), Mexicali, BAJA CALIFORNIA",6862339297,,,Fijo,-115.19455192,32.35470833,,,
02004722514008321000000000U9,7368891,ANTOJITOS DE LA BOLITA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,PASEO DEL GUAYCURA,,,GUAYCURA,22216,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.92204748,32.49102715,,,
02004722514001041000000000U0,122873,ANTOJITOS EMILIA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,PRESIDENTE BENITO JUAREZ,6416,,XICOTENCATL LEYVA,22606,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-117.06526965,32.48294912,,,
02001722219001101000000000U4,144615,ANTOJITOS FANY,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,JESUS HERNANDEZ AYALA,,,PUNTA COLONET,22909,"EJIDO MÉXICO (PUNTA COLONET), Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.21075286,31.06989894,,,
02003722514000681000000000U6,8728114,ANTOJITOS GEORS,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,16 DE SEPTIEMBRE,,,INDUSTRIAL,21430,"TECATE, Tecate, BAJA CALIFORNIA",,,,Fijo,-116.60998106,32.57532386,,,
02004722219018532000000000U5,155022,ANTOJITOS KARELYS,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,BOULEVARD,GUSTAVO DIAZ ORDAZ,1665,,ANAHUAC,21060,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.97859229,32.50616291,MERCADO PUBLICO,MERCADO DE TODOS,M6 L32
02004722516002711000000000U2,7368717,ANTOJITOS LAURITA,ANTOJITOS LAURITA ,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,ROMA,2839,0,VILLA FONTANA,22205,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.86452991,32.50872486,,,
02001722516000471000000000U1,6909322,ANTOJITOS MARY,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,LAGO ONTARIO,934,,VILLA COLONIAL,22890,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.59035436,31.82665194,,,
02004722514006781000000000U6,7344820,ANTOJITOS MEXICANOS,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,MEXICANIDAD,1603,,10 DE MAYO,22476,"TIJUANA, Tijuana, BAJA CALIFORNIA",6642017746,,,Fijo,-116.88081780,32.54049009,,,
02004722516003071000000000U0,8552164,ANTOJITOS MEXICANOS,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,ARIAS BERNAL (I),469,,CASTILLO,22050,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-117.05122655,32.53696809,,,
02004722514004901000000000U2,118019,ANTOJITOS MEXICANOS ANGELITA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,PROLONGACION,PASEO DE LOS HEROES,204,,LOS ESPAÑOLES,22438,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.97661805,32.51303618,,,
02004722514005061000000000U4,106884,ANTOJITOS MEXICANOS EL REY DEL SAZON,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,AVENIDA DE LAS AGUAS,23450,0,VILLA FONTANA,22205,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.86275700,32.50383541,,,
02002722514006901000000000U4,8304684,ANTOJITOS MEXICANOS LOS MORALES,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,LAZARO CARDENAS,,,FRACC LOS MILAGROS,21138,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.57002642,32.62192809,,,
02002722514004261000000000U5,84482,ANTOJITOS PONCHO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,BOULEVARD,LAZARO CARDENAS,2955,,PLUTARCO ELIAS CALLES,21399,"MEXICALI, Mexicali, BAJA CALIFORNIA",6863915527,,,Fijo,-115.38661295,32.61065462,CENTRO Y PLAZA COMERCIAL,PLAZA NUEVO MEXICALI,2955
02005722219000301000000000U2,142899,ANTOJITOS RUIZ,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,EUCALIPTO,3360,0,CENTRO,22710,"PLAYAS DE ROSARITO, Playas de Rosarito, BAJA CALIFORNIA",,,,Fijo,-117.05504615,32.33899540,,,
02002722514007381000000000U8,8370489,ANTOJITOS SONORA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,RIO CULIACAN,899,,INDEPENDENCIA,21290,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.43207218,32.62939075,,,
02004722514006602000000000U4,8112340,AQUI ES TEXCOCO,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,PRIVADA,NINGUNO,,,CAMPOS DEPORTIVOS,22510,"TIJUANA, Tijuana, BAJA CALIFORNIA",,,,Fijo,-116.94527853,32.53312410,,,
02001722514000241000000000U3,93996,AQUÍ SE ARMÓ EL TACO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,BOULEVARD,LAZARO CARDENAS,,,ZONA PLAYITAS,22800,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Semifijo,-116.62360676,31.86035119,,,
02001722110000312000000000U9,77601,ASADERO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,NINGUNO,,,VALLE VERDE,22839,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.61055517,31.88097851,,,
02002722110001625002053370M1,6284357,ASADERO ACATLÁN DE JUÁREZ,ASADERO ACATLAN DE JUAREZ SA DE CV,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,AVENIDA,VILLAHERMOSA,698,,ESPERANZA,21140,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.49026130,32.64451358,,,
02002722514001652000000000U8,84622,ASADERO AGUILAR,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,AVENIDA,RIO SAN PEDRO MEZQUITAL,1434,,VENUSTIANO CARRANZA,21394,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.41469466,32.60899874,,,
02004722110001303000000000M1,153553,ASADERO BAJA SONORA,ASADERO BAJA SONORA ,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,AVENIDA,PASEO DE LOS HEROES,10051,0,ZONA RIO,22320,"TIJUANA, Tijuana, BAJA CALIFORNIA",6646346111,ASADEROBAJASONORA@GMAIL.COM,ASADEROBAJASONORA.COM.MX,Fijo,-117.01602588,32.52363830,CENTRO Y PLAZA COMERCIAL,PLAZA LAOH,10051
02004722514004873000000000S3,123190,ASADERO BAJA SONORA,,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,BOULEVARD,AGUA CALIENTE,1500,,CALETE,22044,"TIJUANA, Tijuana, BAJA CALIFORNIA",6643782020,,,Fijo,-117.01482121,32.51730326,,,
02002722514001392001000000U1,91729,ASADERO BERE,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,PROLONGACION,HEROICO COLEGIO MILITAR,1799,,VICENTE GUERRERO,21320,"MEXICALI, Mexicali, BAJA CALIFORNIA",6864701949,,,Fijo,-115.50583356,32.61192576,,,
02002722514008471000000000U6,6972913,ASADERO BRENES,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CARRETERA,ESTATAL NUMERO 1,0,0,VENUSTIANO CARRANZA,21739,"COLONIA VENUSTIANO CARRANZA (LA CARRANZA), Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.16734034,32.23395163,,,
02001722219004471000000000U8,150624,ASADERO CACHANILLA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CARRETERA,TRANSPENIN SULAR,1196,,RODOLFO SANCHEZ TABOADA (MANEADERO),22790,"RODOLFO SÁNCHEZ TABOADA (MANEADERO), Ensenada, BAJA CALIFORNIA",6462550587,,,Fijo,-116.57294378,31.72029781,,,
02002722219002491001000000U6,148246,ASADERO CACHANILLA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,SEXTA,480,0,GUADALUPE VICTORIA,21720,"CIUDAD GUADALUPE VICTORIA (KILÓMETRO CUARENTA Y TRES), Mexicali, BAJA CALIFORNIA",6863572106,,,Fijo,-115.10506581,32.28757434,,,
02001722514003972000000000U0,8552959,ASADERO CALIFORNIA,ASADERO CALIFORNIA ,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,PRIVADA,20 DE NOVIEMBRE,,,CENTRO,22800,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.62795209,31.87498524,,,
02001722514002581000000000U0,6908348,ASADERO CLUB 7,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,BLANCARTE,997,,ZONA CENTRO,22800,"ENSENADA, Ensenada, BAJA CALIFORNIA",6462599736,,,Fijo,-116.61916884,31.86661873,,,
02002722514001832001000000U6,90687,ASADERO COMPA VICTOR,,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,AVENIDA,JALISCO,,,PUEBLO NUEVO,21130,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.50555973,32.65724674,,,
02002722517001441010000000U9,59128,ASADERO DE COLORES,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,TAPICEROS,1702,,BUROCRATA,21010,"MEXICALI, Mexicali, BAJA CALIFORNIA",6861139647,ASADERODECOLORES@HOTMAIL.COM,,Fijo,-115.46093499,32.65269875,,,
02001722514003991000000000U0,8553074,ASADERO DEL PRADO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,GUADALUPE VICTORIA,,,VILLAS DEL PRADO II,22895,"ENSENADA, Ensenada, BAJA CALIFORNIA",6461933478,,,Fijo,-116.58795995,31.91599288,,,
02001722514003581000000000U9,8301828,ASADERO DELANTE,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,DELANTE (EL ROSARIO),138,,BUENAVENTURA,22880,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.59400278,31.85265748,,,
02001722514004072000000000U8,8677697,ASADERO EL AYUDANTE,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,BOULEVARD,BOULEVARD DE LOS LAGOS NORTE,,,VALLE DORADO,22890,"ENSENADA, Ensenada, BAJA CALIFORNIA",6462108704,,,Fijo,-116.59059689,31.82833119,,,
02002722514006042000000000U7,8320574,ASADERO EL BRIBON,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,AVENIDA,MONTECASTELO,598,,CASA MAGNA,21355,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.47551965,32.59027654,,,
02002722514008061000000000U5,6915673,ASADERO EL BRO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,AVENIDA DE LOS ROCIOS,,,VILLA FLORIDA,21398,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.36695835,32.60234947,,,
02002722514004662001022562S4,6734504,ASADERO EL CHAVA,LINDAS SMART DE BC S DE RL DE CV,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,BOULEVARD,LÁZARO CÁRDENAS,1750,0,VILLAS DEL REAL,21309,"MEXICALI, Mexicali, BAJA CALIFORNIA",,MARI_RECURSOSHUMANOS@HOTMAIL.COM,,Fijo,-115.50293377,32.62366094,,,
02002722219009552000000000S8,75243,ASADERO EL CHAVA,LINDAS SMART DE BC S DE RL DE CV,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,BOULEVARD,LAZARO CARDENAS,1750,0,VILLAS DEL REAL,21309,"MEXICALI, Mexicali, BAJA CALIFORNIA",6862485209,,,Fijo,-115.50441846,32.62365912,,,
02001722110000091000000000U9,64793,ASADERO EL CHORITACO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,MIRAMAR,,,ZONA CENTRO,22800,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.62290587,31.86778539,,,
02002722514007702000000000U5,6914811,ASADERO EL CORRAL,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,PROLONGACION,URUGUAY,0,0,SAN GABRIEL,21210,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.42142998,32.65985993,,,
02002722514002301000000000U1,77787,ASADERO EL FILETE,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,CHETUMAL,334,,CENTRO,21850,"SAN FELIPE, Mexicali, BAJA CALIFORNIA",6861922830,,,Fijo,-114.84076293,31.02485279,,,
02002722219011212001000000U5,54261,ASADERO EL FLACO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CARRETERA,MEXICALI-TIJUANA,,,PROGRESO,21326,"MEXICALI, Mexicali, BAJA CALIFORNIA",6861961885,,,Fijo,-115.57175050,32.58460312,,,
02002722219010542001000000U6,149483,ASADERO EL GENERAL,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALLE,MAR CARIBE SUR,287,,SAN FELIPE,21850,"SAN FELIPE, Mexicali, BAJA CALIFORNIA",,,,Fijo,-114.84497849,31.02012584,,,
02001722514003271000000000U7,7156097,ASADERO EL GORDO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,JUAN CASTRO IBARRA,0,0,OJOS NEGROS,22770,"REAL DEL CASTILLO NUEVO (OJOS NEGROS), Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.27291554,31.90982319,,,
02002722514001851000000000U6,82760,ASADERO EL GRANDE,ASADERO EL GRANDE ,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,ESTAÑO,1313,0,SATELITE,21385,"MEXICALI, Mexicali, BAJA CALIFORNIA",6861095449,,,Fijo,-115.42377427,32.59403629,,,
02002722519000601010000000U5,54292,ASADERO EL GUERO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,CORONEL ESTEBAN CANTU,,,PROGRESO,21326,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.58565555,32.58226034,,,
02002722514005802000000000U5,8319443,ASADERO EL MEXICALENSE,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALZADA,CALZADA DE LAS HACIENDAS,,,AHUMADA,21327,"MEXICALI, Mexicali, BAJA CALIFORNIA",6862334677,,,Fijo,-115.49311671,32.58839586,,,
02002722514001641000000000U1,81642,ASADERO EL MEXICALENSE,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,JEREZ,400,,ZACATECAS,21070,"MEXICALI, Mexicali, BAJA CALIFORNIA",6865140226,ASADEROELMEXICALENSE1@GMAIL.COM,,Fijo,-115.46332218,32.62858983,,,
02001722514002191000000000U8,71837,ASADERO EL MORENO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,CALZADA DE LAS AGUILAS,1608,,INDEPENDENCIA,22840,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.59445831,31.86449086,,,
02001722212002871000000000U6,74991,ASADERO EL MORENO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,PEDRO TERRAZAS (PAI-PAIS),,,LAZARO CARDENAS,22917,"LÁZARO CÁRDENAS (VALLE DE LA TRINIDAD), Ensenada, BAJA CALIFORNIA",6461364411,,,Fijo,-115.72878380,31.40046497,,,
02002722219011573000000000U0,65230,ASADERO EL PIRUL,,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,CALLE,URBANO VASQUEZ (CUARTA),,,GONZALEZ ORTEGA,21397,"MEXICALI, Mexicali, BAJA CALIFORNIA",6865623353,,,Fijo,-115.39558581,32.59621161,,,
02002722514007271000000000U1,8370233,ASADERO EL PONCE,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CARRETERA,MEXICALI SAN LUIS,,,HECHICERA,21620,"EJIDO HECHICERA, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.15698295,32.55268114,,,
02001722514003531000000000U4,8301601,ASADERO EL REY,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CARRETERA,TRANSPENINSULAR (REFORMA),,,CHAPULTEPEC,22890,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.59098525,31.78100141,,,
02002722212000491001000000U3,77752,ASADERO EL SARAPE,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,MAR CARIBE SUR,,,SAN FELIPE,21850,"SAN FELIPE, Mexicali, BAJA CALIFORNIA",,,,Fijo,-114.84127548,31.02609409,,,
02004722514009591000000000U6,9213582,ASADERO EL TACO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,TECNOLOGICO,14527,58,UABC,22390,"TIJUANA, Tijuana, BAJA CALIFORNIA",,ASADEROELTACO@HOTMAIL.COM,,Fijo,-116.95679382,32.53269431,EDIFICIO COMERCIAL Y DE SERVICIOS,PLAZA UNISUR,58
02001722219001331000000000U7,96059,ASADERO EL TEXANO,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALZADA,CALZADA DE LAS AGUILAS,,,MAESTROS,22840,"ENSENADA, Ensenada, BAJA CALIFORNIA",,JVVAZQUEZ05@GMAIL.COM,,Fijo,-116.58837163,31.86537451,,,
02002722219010652001000000U3,74667,ASADERO EL TORITO,,Restaurantes con servicio de preparación de tacos y tortas,31 a 50 personas,BOULEVARD,ANAHUAC,,,JARDINES DE LAGO,21339,"MEXICALI, Mexicali, BAJA CALIFORNIA",6862535755,ASADEROELTORITOMEXICALI@GMAIL.COM,WWW.ASADEROELTORITO.COM,Fijo,-115.47925664,32.62116823,,,
02002722219005221001000000U4,57640,ASADERO EL TROMPO,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALLE,AGUSTIN MELGAR,143,,FRACC RIO NUEVO,21100,"MEXICALI, Mexicali, BAJA CALIFORNIA",6865523253,,,Fijo,-115.49478258,32.66406540,,,
02002722219011653000000000U0,137372,ASADERO EL TURY,,Restaurantes con servicio de preparación de tacos y tortas,11 a 30 personas,BOULEVARD,BENITO JUAREZ,3800,,RESIDENCIAS,21280,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.44488112,32.62739536,,,
02001722212001851000000000U9,71087,ASADERO EL VAQUERO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,CORTEZ,944,,INDEPENDENCIA,22840,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.59968777,31.86127365,,,
02002722219001661000000000U5,148682,ASADERO EL WILI,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CARRETERA,ESTATAL NUMERO 1,,,VENUSTIANO CARRANZA,21739,"COLONIA VENUSTIANO CARRANZA (LA CARRANZA), Mexicali, BAJA CALIFORNIA",6863517307,,,Semifijo,-115.16739654,32.23874938,,,
02002722514005171000000000U5,6930571,ASADERO GONZALEZ,ASADERO GONZALEZ ,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,CALLE DEL SOL,,,SANTA ISABEL,21139,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.57568897,32.63289691,,,
02002722514006061000000000U7,8320629,ASADERO JALISCO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,NINGUNO,0,0,HACIENDA DEL BOSQUE,21355,"MEXICALI, Mexicali, BAJA CALIFORNIA",6861846212,,,Fijo,-115.47046389,32.59524815,,,
02002722514005871000000000U0,8319699,ASADERO KING,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,ACATITA DE BAJAN,900,,INDEPENDENCIA,21290,"MEXICALI, Mexicali, BAJA CALIFORNIA",6861009276,,,Fijo,-115.43193743,32.62969417,,,
02002722219006911000000000U9,68044,ASADERO LA CARRETA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CARRETERA,CARRETERA A SAN FELIPE,,,GRANJAS SANTA CECILIA,21386,"MEXICALI, Mexicali, BAJA CALIFORNIA",6861635739,,,Fijo,-115.41878120,32.55823567,,,
02001722219006122000000000S5,66546,ASADERO LA CHISPA,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,AVENIDA,ADOLFO LOPEZ MATEOS,2074,,NUEVA ENSENADA,22840,"ENSENADA, Ensenada, BAJA CALIFORNIA",,,,Fijo,-116.60865286,31.85630654,,,
02002722219002571001000000U5,57349,ASADERO LA COSTEÑA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,JOSE MARIA MORELOS Y PAVON,596,0,FRACC RIO NUEVO,21100,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.48903778,32.65783889,,,
02002722219010482001000000U5,66192,ASADERO LA FIESTA,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALZADA,JUSTO SIERRA,211,,CUAUHTEMOC NORTE,21200,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.45236980,32.66570055,,,
02002722219011502000000000U9,74800,ASADERO LA FIESTA,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,BOULEVARD,ANAHUAC,,,ADOLFO LOPEZ MATEOS,21339,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.47927137,32.62041150,,,
02002722514000031000000000U6,54264,ASADERO LA GRAN PROGRESO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CARRETERA,MEXICALI-TIJUANA,,,AMPLIACION PROGRESO,21325,"MEXICALI, Mexicali, BAJA CALIFORNIA",6862429174,,,Fijo,-115.58419006,32.58150206,,,
02002722514007481000000000U6,8391808,ASADERO LA LEÑA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALZADA,FRANCISCO L. MONTEJANO,1488,,HEROE DE NACOZARI,21030,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.45257333,32.63816851,,,
02002722219010322001000000U3,66605,ASADERO LA MAQUINA 501,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,AVENIDA,REPUBLICA DE BRASIL Y/O PROLONGACION BRASIL,401,,CUAUHTEMOC NORTE,21200,"MEXICALI, Mexicali, BAJA CALIFORNIA",,,,Fijo,-115.44370792,32.66667096,,,
02002722514003481000000000U0,81617,ASADERO LA MUÑECA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,ZACATECANA,830,0,DEL RASTRO,21090,"MEXICALI, Mexicali, BAJA CALIFORNIA",6864232452,,,Fijo,-115.47000478,32.62860665,,,
